ADHD EEG TDA Pipeline — Group Logistic Regression
Pipeline: Surface Laplacian
Method: Logistic regression based on Gracia-Tabuenca 2020 (eNeuro)
Model:  group ~ auc + slope + kurtosis
N:      121 subjects  (ADHD=61, TDC=60)

NOTE: Individual age/sex not available in this dataset.
      Gracia-Tabuenca 2020 included age/sex as covariates — results
      here are not directly comparable without those controls.
NOTE: p-values and CIs are unreliable with small samples (n < 30).
      Use cross-validated AUC as the primary summary metric.

measure      band    homer  predictor        coef        p    CI_lo    CI_hi   cv_AUC     n
correlation  delta   B1     auc            -0.630    0.037*     -1.221   -0.038    0.671   120
correlation  delta   B1     slope           0.873    0.005**     0.260    1.486    0.671   120
correlation  delta   B1     kurtosis       -0.604    0.012*     -1.076   -0.131    0.671   120

correlation  theta   B1     auc            -0.608    0.030*     -1.155   -0.061    0.621   120
correlation  theta   B1     slope           0.806    0.005**     0.246    1.366    0.621   120
correlation  theta   B1     kurtosis       -0.486    0.033*     -0.934   -0.038    0.621   120

correlation  alpha   B1     auc            -1.100    0.002**    -1.789   -0.411    0.637   120
correlation  alpha   B1     slope           1.057    0.001**     0.427    1.686    0.637   120
correlation  alpha   B1     kurtosis       -0.568    0.022*     -1.056   -0.080    0.637   120

correlation  beta    B1     auc            -0.777    0.073      -1.626    0.071    0.579   120
correlation  beta    B1     slope           1.003    0.019*      0.166    1.840    0.579   120
correlation  beta    B1     kurtosis        0.013    0.952      -0.426    0.453    0.579   120

correlation  gamma   B1     auc            -1.071    0.025*     -2.007   -0.136    0.557   120
correlation  gamma   B1     slope           0.892    0.053      -0.012    1.796    0.557   120
correlation  gamma   B1     kurtosis       -0.307    0.177      -0.752    0.138    0.557   120

