ADHD EEG TDA Pipeline — Group Logistic Regression
Pipeline: Surface Laplacian
Method: Logistic regression based on Gracia-Tabuenca 2020 (eNeuro)
Model:  group ~ auc + slope + kurtosis
N:      121 subjects  (ADHD=61, TDC=60)

NOTE: Individual age/sex not available in this dataset.
      Gracia-Tabuenca 2020 included age/sex as covariates — results
      here are not directly comparable without those controls.
NOTE: p-values and CIs are unreliable with small samples (n < 30).
      Use cross-validated AUC as the primary summary metric.

measure      band    homer  predictor        coef        p    CI_lo    CI_hi   cv_AUC     n
correlation  delta   B1     auc            -0.579    0.079      -1.225    0.067    0.669   120
correlation  delta   B1     slope           0.700    0.018*      0.118    1.281    0.669   120
correlation  delta   B1     kurtosis       -1.527    0.011*     -2.700   -0.355    0.669   120

correlation  theta   B1     auc            -0.559    0.074      -1.173    0.055    0.572   120
correlation  theta   B1     slope           0.690    0.022*      0.099    1.282    0.572   120
correlation  theta   B1     kurtosis       -0.128    0.544      -0.543    0.286    0.572   120

correlation  alpha   B1     auc            -0.530    0.076      -1.115    0.055    0.540   120
correlation  alpha   B1     slope           0.627    0.028*      0.066    1.188    0.540   120
correlation  alpha   B1     kurtosis       -0.227    0.289      -0.646    0.193    0.540   120

correlation  beta    B1     auc            -0.289    0.504      -1.136    0.558    0.419   120
correlation  beta    B1     slope           0.337    0.411      -0.465    1.139    0.419   120
correlation  beta    B1     kurtosis       -0.184    0.390      -0.603    0.236    0.419   120

correlation  gamma   B1     auc             0.312    0.404      -0.422    1.046    0.596   120
correlation  gamma   B1     slope          -0.497    0.158      -1.188    0.193    0.596   120
correlation  gamma   B1     kurtosis       -0.320    0.163      -0.769    0.129    0.596   120

