ADHD EEG TDA Pipeline — Group Logistic Regression
Pipeline: No Filter
Method: Logistic regression based on Gracia-Tabuenca 2020 (eNeuro)
Model:  group ~ auc + slope + kurtosis
N:      121 subjects  (ADHD=61, TDC=60)

NOTE: Individual age/sex not available in this dataset.
      Gracia-Tabuenca 2020 included age/sex as covariates — results
      here are not directly comparable without those controls.
NOTE: p-values and CIs are unreliable with small samples (n < 30).
      Use cross-validated AUC as the primary summary metric.

measure      band    homer  predictor        coef        p    CI_lo    CI_hi   cv_AUC     n
correlation  delta   B1     slope           0.552    0.048*      0.004    1.099    0.634   121
correlation  delta   B1     kurtosis       -0.560    0.054      -1.128    0.009    0.634   121

correlation  theta   B1     auc             0.101    0.703      -0.418    0.620    0.545   121
correlation  theta   B1     slope           0.186    0.459      -0.307    0.680    0.545   121
correlation  theta   B1     kurtosis       -0.276    0.186      -0.684    0.133    0.545   121

correlation  alpha   B1     auc            -0.004    0.989      -0.542    0.535    0.538   121
correlation  alpha   B1     slope           0.376    0.179      -0.173    0.925    0.538   121
correlation  alpha   B1     kurtosis       -0.091    0.662      -0.499    0.317    0.538   121

correlation  beta    B1     auc            -0.132    0.778      -1.052    0.788    0.340   121
correlation  beta    B1     slope           0.102    0.817      -0.762    0.965    0.340   121
correlation  beta    B1     kurtosis       -0.087    0.681      -0.501    0.327    0.340   121

correlation  gamma   B1     auc             0.619    0.191      -0.308    1.547    0.559   121
correlation  gamma   B1     slope          -0.981    0.038*     -1.908   -0.054    0.559   121
correlation  gamma   B1     kurtosis       -0.013    0.949      -0.403    0.378    0.559   121

